x_mm,ch_id,ch_pos_mm,n,mean_tn_ns,rms_tn_ns,stat_floor_ns,mean_npe
0,53,52.0,2,0.549328,0.093052,0.012995,195.8835
0,53,52.0,3,0.609424,0.104662,0.015916,195.8835
0,53,52.0,4,0.665337,0.104572,0.018378,195.8835
0,53,52.0,5,0.713534,0.105070,0.020548,195.8835
0,53,52.0,6,0.757396,0.107868,0.022509,195.8835
0,53,52.0,7,0.799644,0.110223,0.024312,195.8835
0,53,52.0,8,0.839138,0.111630,0.025991,195.8835
0,53,52.0,9,0.875980,0.111745,0.027567,195.8835
0,53,52.0,10,0.908577,0.111414,0.029059,195.8835
0,53,52.0,11,0.939746,0.110751,0.030477,195.8835
0,53,52.0,12,0.970124,0.113206,0.031832,195.8835
0,53,52.0,13,0.998916,0.114542,0.033132,195.8835
0,53,52.0,14,1.026617,0.116535,0.034383,195.8835
0,53,52.0,15,1.053319,0.117476,0.035589,195.8835
0,53,52.0,16,1.079147,0.119913,0.036757,195.8835
0,53,52.0,17,1.105208,0.122489,0.037888,195.8835
0,53,52.0,18,1.130680,0.123988,0.038986,195.8835
0,53,52.0,19,1.154724,0.125121,0.040055,195.8835
0,53,52.0,20,1.178616,0.127042,0.041095,195.8835
0,54,72.0,1,0.595271,0.082448,0.011982,150.2245
0,54,72.0,2,0.674804,0.108793,0.016945,150.2245
0,54,72.0,3,0.748493,0.116802,0.020754,150.2245
0,54,72.0,4,0.814943,0.122567,0.023964,150.2245
0,54,72.0,5,0.875313,0.126898,0.026793,150.2245
0,54,72.0,6,0.931136,0.128654,0.029350,150.2245
0,54,72.0,7,0.978543,0.130957,0.031702,150.2245
0,54,72.0,8,1.021658,0.131113,0.033890,150.2245
0,54,72.0,9,1.064686,0.130468,0.035946,150.2245
0,54,72.0,10,1.103288,0.132736,0.037891,150.2245
0,54,72.0,11,1.140971,0.133012,0.039740,150.2245
0,54,72.0,12,1.175620,0.135256,0.041507,150.2245
0,54,72.0,13,1.209944,0.137344,0.043202,150.2245
0,54,72.0,14,1.242055,0.139787,0.044833,150.2245
0,54,72.0,15,1.274301,0.143141,0.046406,150.2245
0,54,72.0,16,1.304667,0.146095,0.047928,150.2245
0,54,72.0,17,1.335135,0.148773,0.049403,150.2245
0,54,72.0,18,1.365486,0.151225,0.050836,150.2245
0,54,72.0,19,1.394407,0.154701,0.052229,150.2245
0,54,72.0,20,1.422712,0.157216,0.053585,150.2245
